radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,138,71,74,6,47,104,19,35,9,14
1,60,97,67,11,40,90,39,114,100,93
1,26,70,19,21,87,8,22,101,62,104
1,51,105,31,1,114,91,97,41,20,13
1,101,6,62,54,26,12,27,65,7,4
0,52,138,19,30,99,97,100,11,44,43
0,8,17,98,23,70,15,74,97,95,31
0,7,106,97,137,6,64,114,27,28,11
0,47,49,1,100,94,44,9,12,21,5
1,123,41,52,64,2,53,138,14,72,107
0,2,114,22,27,30,57,100,106,63,101
0,138,102,81,76,27,85,44,1,105,2
0,90,42,27,32,11,29,105,67,101,126
1,34,79,29,30,44,11,8,3,5,97
0,53,8,14,44,41,64,99,73,93,40
1,62,129,35,98,54,25,105,93,47,21
1,121,62,61,67,75,49,34,2,23,1
