radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,14,50,73,49,71,104,11,6,7,110
0,9,94,86,34,51,67,53,62,21,68
0,9,25,28,44,107,1,74,111,32,14
1,87,102,27,74,12,6,50,60,14,54
1,26,33,70,74,56,5,21,14,28,104
0,39,9,16,71,93,7,29,21,67,36
0,14,32,74,50,28,13,21,87,22,67
0,93,63,68,43,5,6,20,83,29,99
1,107,106,71,55,73,105,17,42,3,9
1,51,57,62,48,21,86,25,32,11,69
1,7,11,15,17,55,1,85,40,39,31
0,19,1,11,30,86,104,50,44,10,63
0,69,21,60,12,31,85,50,28,11,19
1,21,87,26,6,110,50,86,28,8,25
1,30,13,35,69,2,6,29,25,40,99
1,21,68,41,20,110,104,35,10,49,64
0,7,94,42,112,28,67,3,69,86,74
0,74,98,21,8,3,4,14,84,22,23
1,5,14,21,1,28,43,25,10,37,99
1,67,32,40,74,82,21,97,16,30,72
1,57,27,106,15,32,85,34,1,89,79
1,27,104,81,36,39,20,6,84,100,52
1,15,5,70,4,61,21,96,69,50,19
0,8,11,54,93,62,99,104,21,7,74
0,73,88,53,11,65,74,70,51,22,9
1,73,39,87,59,6,28,71,11,80,50
1,85,69,88,94,39,100,35,8,104,86
1,93,28,73,87,74,103,12,75,21,69
0,44,21,2,72,68,19,100,30,39,93
1,104,14,86,44,103,42,50,39,100,35
1,7,81,36,75,14,86,17,71,112,93
1,1,87,85,22,51,17,72,69,73,31
0,51,44,47,57,14,110,8,100,43,112
0,95,73,75,53,5,47,83,36,32,72
0,44,37,107,28,10,55,97,92,1,88
1,32,28,72,74,104,15,84,21,86,69
1,9,94,53,69,74,1,25,37,20,110
1,39,56,14,21,40,69,11,2,5,72
0,107,11,74,55,112,46,84,30,99,69
1,46,32,48,86,62,73,74,27,112,21
1,62,39,68,28,69,101,21,64,100,8
0,4,91,44,7,55,99,101,75,93,27
0,14,53,49,55,112,99,50,1,2,76
0,7,31,30,12,93,64,39,74,99,75
1,11,92,81,30,8,39,5,93,73,19
0,39,89,22,82,7,62,21,19,43,8
0,97,57,17,27,44,41,74,47,98,100
1,14,8,39,100,80,72,20,11,7,69
1,1,28,68,39,26,104,75,112,85,42
0,32,94,104,106,89,1,34,44,14,88
1,16,101,110,73,67,64,19,11,15,44
1,50,106,101,51,74,39,69,26,70,100
1,73,70,33,26,103,30,110,8,25,86
0,20,74,32,33,62,25,12,21,5,93
1,1,5,74,88,32,53,96,25,99,21
0,7,40,15,25,22,91,53,8,9,75
0,17,45,18,11,14,93,105,51,13,33
0,11,26,91,41,99,93,19,9,69,12
1,28,39,20,19,7,93,99,11,31,112
0,11,36,56,9,106,93,5,99,28,76
0,85,55,27,9,56,64,28,73,18,69
0,64,73,16,20,70,44,63,19,43,86
1,39,54,8,89,20,36,99,60,41,4
1,93,39,28,86,11,51,53,97,7,1
1,11,56,86,81,112,91,84,19,74,18
1,100,11,37,8,34,72,90,21,97,26
0,26,68,70,73,53,57,8,21,11,100
1,5,11,21,18,9,94,104,93,31,74
0,86,39,71,29,1,111,107,42,11,14
0,99,1,86,87,19,49,94,50,26,28
1,62,94,30,21,42,32,5,49,97,59
0,75,74,4,65,109,93,38,41,6,21
0,74,110,9,21,53,25,17,39,104,14
1,72,21,62,74,50,11,57,103,93,85
1,10,37,70,21,1,39,30,28,52,16
1,7,44,14,42,70,26,46,54,12,73
1,73,12,55,30,104,32,11,106,50,7
1,77,51,32,64,74,23,85,35,8,47
1,1,28,21,71,50,104,11,87,56,73
0,47,29,112,104,93,30,75,20,100,44
1,77,39,100,21,105,8,69,11,65,26
0,17,69,47,101,7,1,91,19,5,52
1,23,42,69,30,21,61,74,1,68,73
1,104,25,74,14,1,94,27,100,51,87
1,14,38,46,50,67,83,93,49,75,11
1,16,74,9,107,1,28,62,106,70,101
1,40,29,18,8,84,74,51,5,57,4
1,104,26,8,9,39,30,73,106,22,42
1,42,9,79,49,83,56,50,21,104,28
0,14,98,39,28,74,21,86,11,12,31
0,34,40,21,62,109,49,105,35,55,41
1,100,73,87,72,63,109,14,55,21,64
0,11,62,100,106,69,68,74,107,8,87
1,32,73,31,21,25,14,104,68,11,44
0,8,50,31,11,28,7,33,39,106,85
1,75,55,8,88,31,102,5,85,14,74
1,72,89,29,53,21,80,87,93,61,73
0,3,18,19,68,104,5,43,85,93,73
0,62,6,11,30,56,39,100,35,88,51
0,25,64,75,4,98,9,85,93,74,72
0,93,2,92,30,100,5,19,18,21,97
1,75,11,82,101,107,7,51,47,27,21
1,28,9,54,88,62,47,95,14,8,25
0,74,98,99,86,35,14,47,44,28,36
1,61,42,87,53,39,99,91,32,107,106
1,11,30,1,97,85,112,73,9,29,81
1,100,21,67,16,82,11,41,38,25,69
0,4,12,25,80,112,79,89,33,37,46
1,1,93,29,18,9,28,44,22,4,40
1,18,39,100,50,34,67,32,11,26,43
0,26,18,42,21,85,11,82,27,98,100
0,74,86,73,44,11,94,28,39,62,101
1,11,100,106,5,86,16,18,69,21,85
0,19,25,42,77,20,35,21,26,93,74
0,11,12,45,84,100,72,20,39,22,62
0,84,75,42,11,30,100,68,28,86,73
1,53,25,1,74,4,19,48,9,30,42
0,110,44,25,23,19,98,106,16,21,39
0,76,104,63,99,2,59,75,11,57,21
0,53,25,67,62,101,46,8,60,2,45
0,37,28,112,69,21,51,93,87,53,4
0,2,22,99,48,69,53,11,47,14,60
1,43,36,40,6,14,2,53,104,21,20
0,67,97,22,31,44,9,7,18,14,75
1,57,50,44,11,104,21,26,18,71,53
1,22,68,95,7,72,69,11,62,93,40
0,75,22,71,1,4,30,90,32,99,44
0,21,7,85,43,8,30,29,31,6,70
1,8,14,1,28,87,35,32,105,5,99
0,1,107,69,11,53,93,34,68,7,42
0,104,1,5,74,21,84,101,100,11,72
1,51,7,69,73,57,103,74,44,12,75
1,75,28,63,8,21,72,87,39,71,110
0,8,11,22,90,59,102,21,32,75,81
0,20,21,39,53,12,85,72,18,106,33
1,67,75,22,27,11,2,30,21,8,109
0,21,73,14,39,100,56,22,99,74,97
0,71,94,46,42,75,74,9,85,1,69
1,85,73,90,104,36,9,23,68,62,81
0,1,53,101,7,36,47,74,30,8,112
1,50,107,56,15,69,74,104,112,21,51
0,26,40,93,19,74,106,102,48,21,2
0,81,73,71,9,28,42,86,85,100,11
0,21,58,88,14,35,74,2,44,84,98
0,28,31,1,104,34,59,67,53,55,100
0,17,69,61,35,50,100,93,26,36,38
0,30,75,56,22,74,86,93,21,29,89
1,59,50,46,107,28,8,75,68,58,26
0,28,9,74,86,100,21,73,67,13,20
0,39,69,18,93,112,21,70,85,44,7
0,40,8,19,69,85,106,83,36,110,39
0,17,54,7,47,57,2,39,69,60,37
0,50,25,19,1,55,2,28,104,90,8
0,91,71,27,19,12,7,100,30,21,8
1,67,36,88,9,22,93,37,84,14,98
1,34,84,12,22,96,46,21,73,100,32
0,47,30,21,42,67,46,57,84,93,88
1,74,57,104,35,73,53,16,12,7,47
0,84,69,19,12,71,11,4,42,7,102
1,91,67,84,28,75,46,26,57,1,47
0,10,112,48,61,73,81,68,21,8,31
0,110,12,42,40,25,69,1,112,19,3
0,101,1,19,49,26,110,106,15,104,69
1,12,27,46,93,74,36,97,70,25,69
0,28,9,106,75,1,7,99,3,21,11
0,56,8,100,73,20,62,80,11,28,69
0,48,96,7,9,11,102,109,97,89,72
1,60,18,69,50,35,5,12,73,95,16
0,90,14,42,70,93,94,47,109,105,88
1,22,72,62,59,28,1,112,25,32,71
0,46,92,1,55,5,60,14,19,32,30
1,22,73,36,7,11,9,46,21,12,20
1,11,26,9,37,18,15,102,42,81,17
0,74,44,34,10,5,14,40,11,8,85
0,84,94,39,35,64,98,4,57,9,106
1,43,75,2,44,21,104,26,107,46,11
0,39,1,50,100,16,36,4,5,7,46
0,21,46,62,7,39,40,89,104,25,42
1,68,67,9,107,38,5,89,93,21,83
0,55,73,35,1,30,112,28,21,11,68
0,36,19,25,30,12,49,39,11,69,7
